display(log)
check(C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/model.txt)
model is syntactically correct
data(C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/data.txt)
data loaded
compile(3)
model compiled
inits(1,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/inits1.txt)
this chain contains uninitialized variables
inits(2,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/inits2.txt)
this chain contains uninitialized variables
inits(3,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/inits3.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(100)
update(2)
set(alpha)
set(b.male)
set(b.student)
set(tau.age)
set(tau.ethngrp)
set(tau.la)
set(v)
set(w)
set(r)
set(deviance)
dic.set()
update(498)
coda(*,C:/Users/nathan.green.PHE/Dropbox/small-area & chlamydia/R_code/scripts/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	r[60]	-0.2706	0.5692	0.01525	-1.387	-0.2526	0.8725	3	1494
	r[61]	0.08532	0.5346	0.01444	-0.9863	0.103	1.108	3	1494
	r[62]	-0.3301	0.3096	0.007509	-0.9609	-0.3272	0.2477	3	1494
	r[63]	0.3315	0.4341	0.009386	-0.5277	0.3438	1.153	3	1494
	r[64]	0.04512	0.3029	0.009505	-0.5517	0.0533	0.6465	3	1494
	r[65]	-0.1693	0.2914	0.008109	-0.753	-0.1634	0.3713	3	1494
	r[66]	-0.389	0.5668	0.0155	-1.538	-0.3797	0.6909	3	1494
	r[67]	0.188	0.5402	0.01396	-0.8296	0.1887	1.28	3	1494
	r[68]	0.08695	0.3859	0.009151	-0.6926	0.09158	0.8366	3	1494
	r[69]	-0.02694	0.5627	0.0142	-1.158	-0.02795	1.067	3	1494
	r[70]	-0.2053	0.5739	0.01547	-1.417	-0.2052	0.8342	3	1494
	r[71]	0.7711	0.4447	0.01133	-0.09051	0.7749	1.653	3	1494
	r[72]	-0.1286	0.5568	0.01363	-1.238	-0.1148	0.9316	3	1494
	r[73]	0.2995	0.3464	0.0106	-0.387	0.3144	0.9694	3	1494
	r[74]	-0.2588	0.581	0.01485	-1.45	-0.2573	0.8161	3	1494
	r[75]	-0.537	0.4077	0.0112	-1.381	-0.5269	0.2097	3	1494
	r[76]	0.3575	0.4569	0.01067	-0.5796	0.3484	1.273	3	1494
	r[77]	0.1022	0.3683	0.009191	-0.6466	0.1163	0.7814	3	1494
	r[78]	0.3923	0.3509	0.00839	-0.2991	0.3885	1.097	3	1494
	r[79]	0.01541	0.5514	0.01513	-1.053	0.01621	1.09	3	1494
	r[80]	-0.06273	0.5118	0.01557	-1.069	-0.0584	0.968	3	1494
	r[81]	0.04246	0.5602	0.01183	-1.06	0.05683	1.124	3	1494
	r[82]	-0.4436	0.3926	0.009702	-1.216	-0.4421	0.3254	3	1494
	r[83]	-0.2469	0.5148	0.01318	-1.311	-0.2435	0.6883	3	1494
	r[84]	0.3355	0.4163	0.01119	-0.4872	0.3481	1.149	3	1494
	r[85]	0.07638	0.4281	0.01054	-0.7677	0.07303	0.92	3	1494
	r[86]	-0.637	0.3603	0.008638	-1.377	-0.6219	0.03551	3	1494
	r[87]	0.06388	0.4257	0.01018	-0.7288	0.05734	0.8963	3	1494
	r[88]	-0.7045	0.5115	0.01414	-1.707	-0.6898	0.2605	3	1494
	r[89]	-0.9105	0.4848	0.01061	-1.923	-0.8967	-0.04043	3	1494
	r[90]	0.00188	0.6245	0.01626	-1.173	0.005469	1.238	3	1494
	r[91]	-0.6171	0.5253	0.01223	-1.689	-0.6133	0.3535	3	1494
	r[92]	-1.011	0.3681	0.008905	-1.779	-0.9996	-0.3307	3	1494
	r[93]	0.1936	0.4932	0.01237	-0.7769	0.195	1.164	3	1494
	r[94]	-0.02932	0.611	0.0146	-1.245	-0.02446	1.209	3	1494
	r[95]	1.026	0.452	0.01206	0.1851	1.017	1.949	3	1494
	r[96]	-0.02421	0.577	0.01283	-1.131	-0.02037	1.156	3	1494
	r[97]	-0.293	0.5589	0.01428	-1.391	-0.2857	0.7873	3	1494
	r[98]	-0.09424	0.5912	0.01405	-1.251	-0.07641	1.043	3	1494
	r[99]	0.2831	0.527	0.01403	-0.744	0.2904	1.279	3	1494
	r[100]	0.4315	0.4868	0.01309	-0.5464	0.4395	1.343	3	1494
	r[101]	0.6208	0.381	0.009695	-0.122	0.6193	1.347	3	1494
	r[102]	-0.4063	0.4664	0.01201	-1.354	-0.4029	0.5016	3	1494
	r[103]	0.3123	0.4836	0.0101	-0.6528	0.3118	1.296	3	1494
	r[104]	0.2285	0.5035	0.01342	-0.7461	0.2289	1.23	3	1494
	r[105]	-0.7235	0.4653	0.01236	-1.72	-0.7115	0.1647	3	1494
	r[106]	-0.1336	0.4804	0.01301	-1.137	-0.1126	0.769	3	1494
	r[107]	-0.2413	0.4701	0.01426	-1.192	-0.2166	0.6693	3	1494
	r[108]	-0.2638	0.3663	0.01088	-1.013	-0.255	0.444	3	1494
	r[109]	0.6096	0.4526	0.01152	-0.2803	0.6146	1.501	3	1494
	r[110]	0.08514	0.3555	0.009819	-0.6281	0.08314	0.764	3	1494
	r[111]	0.5089	0.3998	0.01119	-0.2634	0.5074	1.262	3	1494
	r[112]	0.5745	0.5828	0.01567	-0.5518	0.5768	1.729	3	1494
	r[113]	0.461	0.3834	0.01009	-0.3116	0.4694	1.187	3	1494
	r[114]	-0.3336	0.4896	0.01292	-1.376	-0.3173	0.6008	3	1494
	r[115]	0.3399	0.3068	0.007029	-0.2732	0.3506	0.9126	3	1494
	r[116]	-0.02499	0.6003	0.01506	-1.198	-0.03348	1.137	3	1494
	r[117]	-0.2049	0.4409	0.01155	-1.08	-0.2061	0.6372	3	1494
	r[118]	-0.197	0.4345	0.009592	-1.022	-0.1944	0.6398	3	1494
	r[119]	-0.2359	0.5602	0.01681	-1.388	-0.2224	0.8429	3	1494
	r[120]	-0.2588	0.5107	0.01467	-1.271	-0.2579	0.7185	3	1494
	r[121]	0.184	0.4721	0.01415	-0.7584	0.1945	1.102	3	1494
	r[122]	-0.2166	0.5198	0.01383	-1.27	-0.2261	0.7479	3	1494
	r[123]	-0.005855	0.3773	0.01036	-0.7631	-0.008925	0.7305	3	1494
	r[124]	0.1943	0.3825	0.01109	-0.5965	0.1947	0.9179	3	1494
	r[125]	-0.08614	0.4552	0.01253	-1.001	-0.0822	0.7895	3	1494
	r[126]	-0.5749	0.5335	0.01461	-1.682	-0.5648	0.402	3	1494
	r[127]	0.6966	0.333	0.009658	0.05853	0.6939	1.357	3	1494
	r[128]	-0.09432	0.47	0.01292	-1.04	-0.07691	0.8047	3	1494
	r[129]	-0.3708	0.5668	0.01491	-1.512	-0.3659	0.7155	3	1494
	r[130]	0.2385	0.2921	0.007599	-0.3484	0.2474	0.8073	3	1494
	r[131]	-0.003067	0.4712	0.01066	-0.9567	0.006524	0.8947	3	1494
	r[132]	-0.1432	0.4535	0.01079	-1.05	-0.1312	0.7629	3	1494
	r[133]	0.553	0.4522	0.01178	-0.3348	0.5509	1.435	3	1494
	r[134]	0.4903	0.4268	0.01271	-0.3151	0.4898	1.326	3	1494
	r[135]	1.489	0.3137	0.008596	0.874	1.485	2.087	3	1494
	r[136]	-0.6143	0.513	0.01542	-1.68	-0.6005	0.3517	3	1494
	r[137]	-0.4752	0.4928	0.01005	-1.479	-0.4723	0.4391	3	1494
	r[138]	-0.09748	0.4221	0.009335	-0.937	-0.09922	0.7068	3	1494
	r[139]	-0.2848	0.3389	0.007536	-0.9736	-0.2791	0.3614	3	1494
	r[140]	-0.1273	0.5447	0.01373	-1.203	-0.11	0.9367	3	1494
	r[141]	0.2518	0.3511	0.007475	-0.4843	0.2602	0.9073	3	1494
	r[142]	-0.03243	0.4282	0.01111	-0.8969	-0.03074	0.7545	3	1494
	r[143]	1.079	0.3003	0.00812	0.5081	1.083	1.654	3	1494
	r[144]	-0.2752	0.4664	0.01246	-1.207	-0.2531	0.6136	3	1494
	r[145]	0.1667	0.2544	0.006411	-0.326	0.1668	0.6701	3	1494
	r[146]	0.4751	0.2846	0.006663	-0.09041	0.476	1.037	3	1494
	r[147]	0.1886	0.485	0.01165	-0.7531	0.1868	1.069	3	1494
	r[148]	-0.2172	0.3361	0.008446	-0.8943	-0.2014	0.4371	3	1494
	r[149]	-0.1374	0.5161	0.01643	-1.148	-0.1342	0.8093	3	1494
	r[150]	-0.129	0.4102	0.01021	-0.9568	-0.1194	0.639	3	1494
	r[151]	-0.07198	0.2701	0.006676	-0.6181	-0.06879	0.4373	3	1494
	r[152]	-0.4335	0.4966	0.01292	-1.412	-0.4216	0.4721	3	1494
	r[153]	-0.116	0.4749	0.01113	-1.069	-0.1037	0.8024	3	1494
	r[154]	-0.1961	0.566	0.01523	-1.352	-0.1984	0.8727	3	1494
	r[155]	-0.1722	0.2784	0.007341	-0.729	-0.1592	0.3587	3	1494
	r[156]	0.1337	0.4628	0.01227	-0.7871	0.1407	1.03	3	1494
	r[157]	-0.1279	0.3262	0.008366	-0.7593	-0.1383	0.5148	3	1494
	r[158]	0.03287	0.5803	0.0147	-1.161	0.04662	1.137	3	1494
	r[159]	0.5397	0.4582	0.01282	-0.3876	0.55	1.423	3	1494
	r[160]	-0.437	0.445	0.01039	-1.345	-0.4371	0.3947	3	1494
	r[161]	-0.02071	0.5925	0.01575	-1.124	-0.02134	1.145	3	1494
	r[162]	-0.3948	0.5002	0.01462	-1.395	-0.3805	0.5954	3	1494
	r[163]	-0.2722	0.5099	0.01299	-1.296	-0.2682	0.7298	3	1494
	r[164]	0.01927	0.4051	0.01061	-0.7783	0.04074	0.8083	3	1494
	r[165]	0.6985	0.3213	0.008176	0.06271	0.6964	1.302	3	1494
	r[166]	0.2521	0.6003	0.01624	-0.8681	0.2342	1.523	3	1494
	r[167]	0.1631	0.3847	0.01015	-0.6216	0.1654	0.9256	3	1494
	r[168]	0.1758	0.4153	0.01111	-0.6254	0.1714	0.969	3	1494
	r[169]	-0.4711	0.5124	0.01326	-1.496	-0.4576	0.5041	3	1494
	r[170]	-0.1579	0.4089	0.009591	-0.9606	-0.1445	0.6158	3	1494
	r[171]	0.9845	0.2898	0.007384	0.4076	0.9918	1.536	3	1494
	r[172]	0.2433	0.5365	0.01551	-0.8394	0.2417	1.269	3	1494
	r[173]	-0.0317	0.6202	0.01574	-1.254	-0.01493	1.169	3	1494
	r[174]	-0.2641	0.5437	0.01388	-1.346	-0.2489	0.8095	3	1494
	r[175]	0.3265	0.5004	0.01343	-0.6508	0.3309	1.311	3	1494
	r[176]	0.9059	0.4794	0.01252	-0.02359	0.8976	1.841	3	1494
	r[177]	-0.2618	0.5547	0.01537	-1.398	-0.2605	0.7725	3	1494
	r[178]	-0.1868	0.4887	0.01157	-1.177	-0.183	0.7897	3	1494
	r[179]	0.1512	0.5254	0.01364	-0.9024	0.1647	1.167	3	1494
	r[180]	0.3628	0.4315	0.01285	-0.4834	0.373	1.211	3	1494
	r[181]	0.2873	0.357	0.009421	-0.3931	0.2802	0.9822	3	1494
	r[182]	-0.2494	0.4454	0.01175	-1.141	-0.243	0.6059	3	1494
	r[183]	-0.07645	0.4155	0.01045	-0.9399	-0.07117	0.7434	3	1494
	r[184]	-0.6847	0.4507	0.01197	-1.595	-0.6763	0.1496	3	1494
	r[185]	-0.3952	0.5194	0.01091	-1.4	-0.3791	0.5753	3	1494
	r[186]	-0.8057	0.4027	0.01029	-1.636	-0.7931	-0.03579	3	1494
	r[187]	-0.3075	0.439	0.01058	-1.172	-0.2984	0.5027	3	1494
	r[188]	-0.4149	0.5452	0.01293	-1.505	-0.4115	0.6373	3	1494
	r[189]	-0.07573	0.3924	0.009802	-0.8708	-0.06738	0.6651	3	1494
	r[190]	-0.8779	0.4609	0.01299	-1.807	-0.8587	0.01433	3	1494
	r[191]	-0.04071	0.6157	0.0171	-1.225	-0.04938	1.188	3	1494
	r[192]	0.578	0.3598	0.008087	-0.1381	0.579	1.31	3	1494
	r[193]	0.2102	0.3514	0.008212	-0.5044	0.2182	0.8951	3	1494
	r[194]	-0.5085	0.5144	0.01514	-1.595	-0.5007	0.4541	3	1494
	r[195]	-0.2584	0.3924	0.0111	-1.053	-0.2538	0.4971	3	1494
	r[196]	-0.1723	0.5825	0.01448	-1.372	-0.1634	0.9128	3	1494
	r[197]	0.3172	0.3539	0.009311	-0.3819	0.3216	1.006	3	1494
	r[198]	0.4378	0.3212	0.007592	-0.1709	0.4287	1.09	3	1494
	r[199]	0.6276	0.3668	0.01022	-0.09868	0.6308	1.318	3	1494
	r[200]	-0.2306	0.5163	0.01218	-1.273	-0.2113	0.7509	3	1494
	r[201]	0.03376	0.5645	0.01522	-1.012	0.02681	1.17	3	1494
	r[202]	0.2491	0.3839	0.0105	-0.5332	0.2569	1.01	3	1494
	r[203]	0.305	0.476	0.01274	-0.6736	0.3242	1.19	3	1494
	r[204]	-0.5648	0.4543	0.01214	-1.467	-0.5628	0.3453	3	1494
	r[205]	-0.3037	0.565	0.01522	-1.406	-0.2868	0.7725	3	1494
	r[206]	0.04531	0.5103	0.01199	-0.9528	0.04334	1.057	3	1494
	r[207]	0.7837	0.3967	0.01068	0.002575	0.7873	1.577	3	1494
	r[208]	-0.137	0.5771	0.01389	-1.27	-0.1228	0.9493	3	1494
	r[209]	-0.3531	0.5033	0.01458	-1.327	-0.3434	0.6483	3	1494
	r[210]	0.8128	0.4467	0.01216	-0.07598	0.8003	1.682	3	1494
	r[211]	-0.4246	0.5769	0.01473	-1.548	-0.433	0.6991	3	1494
	r[212]	-0.3929	0.5282	0.01388	-1.521	-0.3632	0.5604	3	1494
	r[213]	-0.6529	0.4338	0.009146	-1.534	-0.6441	0.1955	3	1494
	r[214]	-0.6323	0.3888	0.01106	-1.415	-0.6148	0.07493	3	1494
	r[215]	-0.7427	0.5163	0.01234	-1.814	-0.7373	0.2338	3	1494
	r[216]	-0.246	0.4314	0.01179	-1.079	-0.2303	0.5615	3	1494
	r[217]	-0.2186	0.3792	0.0097	-0.9881	-0.218	0.5185	3	1494
	r[218]	-0.361	0.527	0.012	-1.493	-0.3449	0.6434	3	1494
	r[219]	-0.2184	0.5913	0.01433	-1.364	-0.2212	0.9554	3	1494
	r[220]	0.4155	0.294	0.008145	-0.2029	0.4212	0.9884	3	1494
	r[221]	0.5718	0.3914	0.01051	-0.2089	0.5671	1.353	3	1494
	r[222]	-0.1468	0.3867	0.01118	-0.9056	-0.1284	0.5895	3	1494
	r[223]	0.2104	0.4326	0.0105	-0.6316	0.2156	1.058	3	1494
	r[224]	0.3858	0.3854	0.009671	-0.3842	0.3896	1.144	3	1494
	r[225]	-0.5298	0.5297	0.01284	-1.574	-0.5121	0.5	3	1494
	r[226]	0.3384	0.4377	0.01062	-0.5466	0.3564	1.162	3	1494
	r[227]	-0.2697	0.4654	0.01251	-1.245	-0.2558	0.6031	3	1494
	r[228]	-0.3779	0.4183	0.0101	-1.21	-0.3784	0.4219	3	1494
	r[229]	0.3475	0.5827	0.01536	-0.7869	0.3486	1.52	3	1494
	r[230]	-0.2117	0.5933	0.01586	-1.43	-0.2156	0.9026	3	1494
	r[231]	-0.2784	0.4957	0.01395	-1.257	-0.276	0.6957	3	1494
	r[232]	0.3002	0.4375	0.01004	-0.5683	0.3079	1.162	3	1494
	r[233]	0.3418	0.5158	0.0139	-0.6886	0.3548	1.376	3	1494
	r[234]	0.3755	0.5504	0.01277	-0.7335	0.3745	1.484	3	1494
	r[235]	-0.03559	0.4625	0.01128	-0.9847	-0.02739	0.8368	3	1494
