PHE Region Code,PHE Region Name,PHE Centre Code,PHE Centre Name,Upper LA Code,LA - UT Name,LA Code,LA Name,Chlamydia Tests:nongum,Chlamydia Tests:gum,Chlamydia Tests:total,Positive Tests Reported:nongum,Positive Tests Reported:gum,Positive Tests Reported:total,Combined Coverage,Percent test pos,Diagnosis rate,15-24 Year Old Population Estimates
X25001,London,X25001AA,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,5232,2525,7757,300,239,539,0.300367861,0.069485626,2087.124879,25825
X25001,London,X25001AA,London,E09000003,Barnet,E09000003,Barnet,3194,3893,7087,190,295,485,0.160462799,0.068435163,1098.129783,44166
X25001,London,X25001AA,London,E09000004,Bexley,E09000004,Bexley,3089,1934,5023,237,199,436,0.162841211,0.086800717,1413.473384,30846
X25001,London,X25001AA,London,E09000005,Brent,E09000005,Brent,6148,5611,11759,288,533,821,0.285128877,0.069818862,1990.737373,41241
X25001,London,X25001AA,London,E09000006,Bromley,E09000006,Bromley,5388,2194,7582,395,186,581,0.220381351,0.076628858,1688.757121,34404
X25001,London,X25001AA,London,E09000007,Camden,E09000007,Camden,9525,4466,13991,586,287,873,0.404797037,0.062397255,2525.822411,34563
X25001,London,X25001AA,London,E09000001,City of London,E09000001,City of London,46,77,123,<5,<5,<5,0.169421488,<10%,<560,726
X25001,London,X25001AA,London,E09000008,Croydon,E09000008,Croydon,7348,5247,12595,606,653,1259,0.270487931,0.099960302,2703.805515,46564
X25001,London,X25001AA,London,E09000009,Ealing,E09000009,Ealing,2532,4578,7110,154,423,577,0.171503003,0.081153305,1391.803555,41457
X25001,London,X25001AA,London,E09000010,Enfield,E09000010,Enfield,2583,5139,7722,167,445,612,0.184551408,0.079254079,1462.645189,41842
X25001,London,X25001AA,London,E09000011,Greenwich,E09000011,Greenwich,9182,2281,11463,684,272,956,0.318655658,0.083398761,2657.548717,35973
X25001,London,X25001AA,London,E09000012,Hackney,E09000012,Hackney,8091,7465,15556,609,748,1357,0.471679806,0.087233222,4114.614918,32980
