Code,Name, ALL AGES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,both_popsize_15-19,both_popsize_20-24,both_popsize_all
E12000008,South East,8724737,0.01244049,0.01259591,0.012557284,0.012374241,0.01257952,0.012261802,0.011985347,0.011416848,0.01142384,0.011064632,0.010836201,0.011240912,0.011549345,0.011927466,0.012059045,0.012229939,0.01218478,0.012310973,0.012647143,0.012083,0.012276244,0.01262422,0.012505706,0.012324727,0.012336188,0.011944314,0.012026609,0.012104319,0.011877034,0.012196815,0.012386391,0.012740212,0.012968528,0.012649436,0.01208323,0.012097671,0.012297333,0.01279007,0.013142058,0.013771876,0.014257622,0.014748983,0.014351034,0.014764571,0.014900392,0.015257308,0.015241491,0.015390263,0.015233353,0.01488446,0.0144182,0.013955607,0.013381263,0.013119135,0.012766689,0.012275098,0.011807118,0.011454672,0.011357133,0.011240568,0.010912764,0.011039416,0.01132974,0.011845973,0.012616541,0.013919732,0.010748404,0.010316643,0.010232744,0.009584587,0.008486789,0.007465325,0.007899035,0.007828889,0.007621433,0.007279646,0.006971901,0.006636991,0.0061799,0.005916969,0.005850606,0.005606702,0.005207263,0.004767823,0.004279097,0.00397204,0.003577071,0.003177173,0.002840086,0.002544031,0.009628027,0.061455835,0.062067086,0.123522921
E12000009,South West,5339637,0.011522132,0.011491792,0.011283351,0.011162557,0.011359948,0.011087083,0.010811596,0.01043423,0.010335159,0.010231407,0.009982327,0.010356884,0.01084643,0.011293839,0.011486549,0.011912608,0.011871032,0.01182159,0.012457027,0.012582316,0.012812856,0.013053509,0.012798061,0.012520514,0.012233603,0.011847247,0.011576817,0.011642177,0.011458082,0.011533556,0.011621577,0.011770088,0.011869908,0.011414259,0.010650724,0.010625629,0.010939508,0.011385231,0.011873841,0.012604977,0.013285547,0.013842701,0.013655797,0.014123807,0.014167068,0.014723285,0.014800632,0.014847826,0.014928543,0.014559229,0.014319325,0.013876037,0.013416268,0.013249403,0.013055007,0.01268457,0.012183412,0.011959989,0.012212815,0.012178918,0.012011303,0.012215063,0.012679326,0.013120555,0.01408916,0.015424269,0.01207142,0.011883954,0.011748364,0.011028278,0.00981415,0.008675309,0.00892364,0.008884874,0.00857474,0.008220222,0.007783488,0.007553322,0.006983434,0.006801586,0.006592583,0.006318969,0.005978496,0.005428084,0.004933107,0.004506299,0.004128932,0.003782841,0.003330376,0.00294683,0.010934826,0.060644572,0.063418543,0.124063115
W92000004,Wales,3074067,0.011566111,0.0119041,0.011661099,0.011556352,0.011817569,0.011407038,0.011257074,0.01088623,0.010590856,0.010368024,0.010387867,0.010827676,0.011122724,0.011567737,0.011794798,0.012332197,0.012026739,0.012160763,0.013091127,0.01425831,0.014650299,0.014901757,0.014119406,0.013571272,0.01307844,0.012450932,0.012253149,0.012223221,0.01175381,0.011853027,0.011678991,0.012005269,0.012116197,0.011420701,0.010579145,0.01059541,0.010728458,0.011152652,0.011504629,0.012221594,0.013065428,0.013731971,0.013340308,0.014010755,0.013839646,0.014240093,0.014157466,0.014562142,0.014630781,0.014207238,0.014162346,0.013764176,0.013334778,0.013133416,0.012921319,0.012621065,0.012169221,0.011891088,0.012299992,0.012303245,0.012029992,0.012198823,0.01263668,0.012952873,0.013765152,0.014610287,0.011307496,0.011229098,0.01121511,0.010586627,0.00974442,0.008902213,0.008798117,0.008668321,0.008429875,0.007908741,0.007575632,0.007250981,0.006745461,0.006438376,0.006043785,0.0056827,0.005287133,0.004794625,0.00434213,0.004000238,0.003656394,0.003224068,0.002821019,0.002403656,0.008920755,0.063869135,0.070321174,0.134190309
E06000001,Hartlepool UA,92238,0.012554479,0.012727943,0.012587003,0.012381014,0.012641211,0.012521954,0.012164184,0.011546217,0.011101715,0.011058349,0.01049459,0.011589583,0.01199072,0.012240075,0.011860621,0.013172445,0.013215811,0.014148182,0.013887985,0.011730523,0.012966456,0.012467746,0.01234849,0.012576162,0.013541057,0.0134218,0.012771309,0.012478588,0.012315965,0.011665474,0.011719682,0.011893146,0.011882304,0.011014983,0.010093454,0.010256077,0.010397016,0.010310284,0.011112557,0.012478588,0.013053188,0.014159023,0.013660314,0.013335068,0.013877144,0.015091394,0.015319066,0.01577441,0.015015503,0.015828617,0.015720202,0.015102236,0.013942193,0.01463605,0.013356751,0.013497691,0.012272599,0.012305124,0.011557059,0.012175025,0.012153342,0.011741365,0.011969037,0.012738784,0.012717101,0.013313385,0.010375333,0.009985039,0.009302023,0.008217871,0.008456385,0.007469806,0.008272079,0.008413018,0.008413018,0.008608166,0.007285501,0.007491489,0.006873523,0.006624168,0.006396496,0.005572541,0.005268978,0.004239034,0.003946313,0.003371712,0.003588543,0.003078991,0.002157462,0.001908107,0.007046987,0.066154947,0.063899911,0.130054858
E06000002,Middlesbrough UA,138744,0.014559188,0.014458283,0.013989794,0.013088854,0.013470853,0.013031194,0.013312287,0.012137462,0.011986104,0.011315805,0.010955429,0.0115032,0.011654558,0.011625728,0.012072594,0.012872629,0.012879836,0.013110477,0.014530358,0.017117857,0.019633281,0.017975552,0.016786311,0.016433143,0.016649369,0.014638471,0.014926772,0.014422245,0.013600588,0.013629418,0.012454593,0.012641988,0.012569913,0.011877991,0.011070749,0.010220262,0.010760826,0.011524823,0.011294182,0.011762671,0.01240414,0.013139307,0.012634781,0.012123047,0.012966326,0.013081647,0.013723116,0.014681716,0.013932134,0.013701493,0.014638471,0.013816814,0.013110477,0.013023987,0.013312287,0.012887044,0.011870784,0.011726633,0.011409502,0.011373465,0.010378827,0.010465317,0.01037162,0.010090526,0.011121202,0.011568068,0.008757135,0.008346307,0.008086836,0.007596725,0.007661593,0.007121029,0.007128236,0.007257972,0.007560687,0.00685435,0.006472352,0.006256126,0.005729978,0.005794845,0.005095716,0.005239866,0.004656057,0.004072248,0.003538892,0.003207346,0.00293346,0.002457764,0.002018105,0.001672144,0.006385862,0.070511157,0.087477657,0.157988814
E06000003,Redcar and Cleveland UA,134998,0.01187425,0.012096476,0.011407576,0.010703862,0.011177943,0.011170536,0.011889065,0.01065201,0.010466822,0.009859405,0.009977926,0.010459414,0.011140906,0.011718692,0.011607579,0.012266848,0.012674262,0.012733522,0.013207603,0.011600172,0.012029808,0.011392761,0.01175573,0.012037215,0.012259441,0.01205203,0.012133513,0.011859435,0.010777937,0.010503859,0.011533504,0.011029793,0.011148313,0.009963111,0.009918665,0.009407547,0.010200151,0.010103853,0.010718677,0.011733507,0.013133528,0.013377976,0.013370568,0.013948355,0.013755759,0.014933555,0.015926162,0.015022445,0.015289115,0.015726159,0.015370598,0.014000207,0.014533549,0.014311323,0.014015022,0.01297797,0.013140935,0.012066845,0.012622409,0.012718707,0.012096476,0.012429814,0.012963155,0.013800204,0.014289101,0.015844679,0.012726114,0.012096476,0.011889065,0.010674232,0.010496452,0.00951866,0.009911258,0.010118668,0.009311249,0.008881613,0.008281604,0.007748263,0.006666765,0.006637135,0.006311205,0.006251944,0.005874161,0.0052223,0.004333398,0.003874131,0.003540793,0.003407458,0.002911154,0.002525963,0.007881598,0.062482407,0.059474955,0.121957362
E06000004,Stockton-on-Tees UA,192406,0.01285303,0.013133686,0.013055726,0.012712701,0.01298816,0.012463229,0.012515202,0.011761587,0.01167843,0.011070341,0.010737711,0.010976789,0.011569286,0.012047441,0.011860337,0.012546386,0.012182572,0.012775069,0.013461119,0.013248028,0.013632631,0.013383159,0.0129102,0.0129102,0.013450724,0.012998555,0.013632631,0.013617039,0.013133686,0.012660728,0.012977766,0.01285303,0.012863424,0.012260532,0.011325011,0.010810474,0.011751193,0.011402971,0.011969481,0.012099415,0.013902893,0.014225128,0.014599337,0.014152365,0.014578547,0.014942361,0.015212623,0.015077492,0.014931967,0.01541532,0.015358149,0.014438219,0.013975656,0.013694999,0.013913288,0.0134975,0.012380071,0.012000665,0.012354085,0.011808364,0.011605667,0.011127512,0.011553694,0.011527707,0.012276124,0.013154475,0.009926925,0.009334428,0.009391599,0.008357328,0.008201407,0.007416609,0.007546542,0.008003908,0.007401017,0.007073584,0.006938453,0.006491482,0.005956155,0.005602736,0.005670301,0.005566354,0.004875108,0.003939586,0.003612153,0.002941696,0.002837749,0.002525909,0.002421962,0.001850254,0.006132865,0.064213174,0.066286914,0.130500088
E06000005,Darlington UA,105248,0.012864853,0.012475296,0.012760337,0.012446792,0.012342277,0.011886212,0.012541806,0.011677182,0.011705686,0.011354135,0.010660535,0.010423001,0.011278124,0.012009729,0.012484798,0.012370781,0.012304272,0.012627318,0.012380283,0.009586881,0.010613028,0.01118311,0.010945576,0.011534661,0.01229477,0.012275768,0.01215225,0.012266266,0.012617817,0.012123746,0.011990727,0.012855351,0.012750836,0.012465795,0.011335132,0.011192612,0.011629675,0.012228261,0.012693828,0.013111888,0.01395751,0.014670112,0.014708118,0.013795987,0.013986014,0.014774628,0.015753268,0.015316206,0.014670112,0.015401718,0.014736622,0.014850638,0.013615461,0.013767483,0.013757981,0.012693828,0.012579811,0.011601171,0.011962223,0.012256765,0.011477653,0.011810201,0.011753192,0.012389784,0.012627318,0.014290058,0.011078595,0.010869565,0.010147461,0.008826771,0.00854173,0.008066662,0.008446716,0.008902782,0.008361204,0.007829127,0.007297051,0.007420569,0.006432426,0.006242399,0.005577303,0.005130739,0.004798191,0.004893205,0.004209106,0.00409509,0.003924065,0.003249468,0.002859912,0.002451353,0.008703253,0.059269535,0.056571146,0.115840681
E06000006,Halton UA,125692,0.012729529,0.013127327,0.013763804,0.012697706,0.013437609,0.012721573,0.013604684,0.012363555,0.011440664,0.010843968,0.011066735,0.01152818,0.011878242,0.012252172,0.012347643,0.012124877,0.012116921,0.012840913,0.013548993,0.011512268,0.011241766,0.01194189,0.011878242,0.012482895,0.013175063,0.013835407,0.012840913,0.012801133,0.013198931,0.012681794,0.012864781,0.012681794,0.012626102,0.012769309,0.010963307,0.011337237,0.012132833,0.012220348,0.012291952,0.013859275,0.014233205,0.015195876,0.013843363,0.013867231,0.014129778,0.014885593,0.013994526,0.015036757,0.014448016,0.014583267,0.015752793,0.014448016,0.013533081,0.014257073,0.013891099,0.012896604,0.013763804,0.012538586,0.012737485,0.012387423,0.012920472,0.01335805,0.013007988,0.013079591,0.013477389,0.014559399,0.010287051,0.008926582,0.009610795,0.008719728,0.008290106,0.007367215,0.007470643,0.007041021,0.006921682,0.006547752,0.006285205,0.006253381,0.005425962,0.004988384,0.004789485,0.004463291,0.004558763,0.003890462,0.003047131,0.002840276,0.002553862,0.002195844,0.001774178,0.001575279,0.005577125,0.062143971,0.060719855,0.122863826
E06000007,Warrington UA,203652,0.012339677,0.012275843,0.012167816,0.01251645,0.012172726,0.012177636,0.011681692,0.011593306,0.01150492,0.011038438,0.011524562,0.011274134,0.012020506,0.012413333,0.012059788,0.012698132,0.012707953,0.012393691,0.012619567,0.01034117,0.010513032,0.011465637,0.01164732,0.012334767,0.01266376,0.012349498,0.012241471,0.012138354,0.01251645,0.01252136,0.012482077,0.012786518,0.012840532,0.012246381,0.011563844,0.011887926,0.01252627,0.01280616,0.013228449,0.014627895,0.01529079,0.015521576,0.015663976,0.015801465,0.015241687,0.016248306,0.016685326,0.016371064,0.016523285,0.016700057,0.01543319,0.014799756,0.013410131,0.013915896,0.012830711,0.01223656,0.011720975,0.011534382,0.011529472,0.011534382,0.010969693,0.010979514,0.011421444,0.01150001,0.012315126,0.014019013,0.010365722,0.010228232,0.010257694,0.00917251,0.008990827,0.008028401,0.008489973,0.008548897,0.007753423,0.00698741,0.006736983,0.006182115,0.005573233,0.005317895,0.004866144,0.004713924,0.004355469,0.003859525,0.003383222,0.003309567,0.002685954,0.00247972,0.002140907,0.001846287,0.006619135,0.060760513,0.058624516,0.119385029
