22,Women,40,39,35,38,37,39,37,38,37,40,40,35,35,38,34,30,29,29,30,33,31,30
23,Women,40,39,35,38,37,39,37,38,37,40,40,35,35,38,34,30,29,29,30,33,31,30
24,Women,40,39,35,38,37,39,37,38,37,40,40,35,35,38,34,30,29,29,30,33,31,30
25,Women,43,36,35,35,33,34,32,30,33,33,32,32,30,33,31,28,29,26,23,25,23,25
26,Women,43,36,35,35,33,34,32,30,33,33,32,32,30,33,31,28,29,26,23,25,23,25
27,Women,43,36,35,35,33,34,32,30,33,33,32,32,30,33,31,28,29,26,23,25,23,25
28,Women,43,36,35,35,33,34,32,30,33,33,32,32,30,33,31,28,29,26,23,25,23,25
29,Women,43,36,35,35,33,34,32,30,33,33,32,32,30,33,31,28,29,26,23,25,23,25
30,Women,43,36,35,35,33,34,32,30,33,33,32,32,30,33,31,28,29,26,23,25,23,25
31,Women,43,36,35,35,33,34,32,30,33,33,32,32,30,33,31,28,29,26,23,25,23,25
32,Women,43,36,35,35,33,34,32,30,33,33,32,32,30,33,31,28,29,26,23,25,23,25
33,Women,43,36,35,35,33,34,32,30,33,33,32,32,30,33,31,28,29,26,23,25,23,25
34,Women,43,36,35,35,33,34,32,30,33,33,32,32,30,33,31,28,29,26,23,25,23,25
35-49,Women,41,37,35,33,34,32,28,28,30,28,28,27,27,27,28,28,25,24,22,22,22,21
50-59,Women,42,38,40,34,33,27,28,26,26,26,27,26,24,24,22,23,23,21,20,20,19,19
60 and over,Women,24,23,22,22,21,19,19,16,18,16,16,15,17,14,14,13,13,12,11,12,13,13
