LAD12CD,LAD12CDO,LAD12NM,PCO12CD,PCO12CDO,PCO12NM
E07000065,21UH,Wealden,E16000109,5P7,East Sussex Downs and Weald
E07000065,21UH,Wealden,E16000110,5P8,Hastings and Rother
E07000066,22UB,Basildon,E16000131,5PY,South West Essex
E07000067,22UC,Braintree,E16000128,5PV,West Essex
E07000067,22UC,Braintree,E16000130,5PX,Mid Essex
E07000068,22UD,Brentwood,E16000131,5PY,South West Essex
E07000069,22UE,Castle Point,E16000103,5P1,South East Essex
E07000070,22UF,Chelmsford,E16000130,5PX,Mid Essex
E07000071,22UG,Colchester,E16000129,5PW,North East Essex
E07000072,22UH,Epping Forest,E16000128,5PV,West Essex
E07000073,22UJ,Harlow,E16000128,5PV,West Essex
E07000074,22UK,Maldon,E16000130,5PX,Mid Essex
E07000075,22UL,Rochford,E16000103,5P1,South East Essex
E07000076,22UN,Tendring,E16000129,5PW,North East Essex
E07000077,22UQ,Uttlesford,E16000128,5PV,West Essex
E07000078,23UB,Cheltenham,E16000138,5QH,Gloucestershire
E07000079,23UC,Cotswold,E16000138,5QH,Gloucestershire
E07000080,23UD,Forest of Dean,E16000138,5QH,Gloucestershire
E07000081,23UE,Gloucester,E16000138,5QH,Gloucestershire
E07000082,23UF,Stroud,E16000138,5QH,Gloucestershire
E07000083,23UG,Tewkesbury,E16000138,5QH,Gloucestershire
E07000084,24UB,Basingstoke and Deane,E16000133,5QC,Hampshire
E07000085,24UC,East Hampshire,E16000133,5QC,Hampshire
E07000086,24UD,Eastleigh,E16000133,5QC,Hampshire
E07000087,24UE,Fareham,E16000133,5QC,Hampshire
E07000088,24UF,Gosport,E16000133,5QC,Hampshire
E07000089,24UG,Hart,E16000133,5QC,Hampshire
E07000090,24UH,Havant,E16000133,5QC,Hampshire
E07000091,24UJ,New Forest,E16000133,5QC,Hampshire
E07000092,24UL,Rushmoor,E16000133,5QC,Hampshire
E07000093,24UN,Test Valley,E16000133,5QC,Hampshire
E07000094,24UP,Winchester,E16000133,5QC,Hampshire
E07000095,26UB,Broxbourne,E16000150,5QV,Hertfordshire
E07000096,26UC,Dacorum,E16000150,5QV,Hertfordshire
E07000097,26UD,East Hertfordshire,E16000150,5QV,Hertfordshire
E07000098,26UE,Hertsmere,E16000150,5QV,Hertfordshire
E07000099,26UF,North Hertfordshire,E16000150,5QV,Hertfordshire
E07000240,26UG,St Albans,E16000150,5QV,Hertfordshire
