LA Name,age,WHITE,MIXED,ASIAN/ASIAN BRITISH,CHINESE,BLACK/BLACK BRITISH,OTHER
    E42000089 Inner London,0,"23,146","7,175","7,307",582,"9,478","1,934"
    E42000089 Inner London,1,"20,939","6,766","7,368",463,"9,659","1,986"
    E42000089 Inner London,2,"18,918","6,457","7,049",461,"9,830","1,928"
    E42000089 Inner London,3,"17,651","5,917","7,250",447,"10,095","1,828"
    E42000089 Inner London,4,"16,431","5,620","6,989",394,"9,886","1,954"
    E42000089 Inner London,5,"15,231","5,032","7,054",310,"9,842","1,995"
    E42000089 Inner London,6,"13,921","4,527","6,639",315,"9,057","1,683"
    E42000089 Inner London,7,"13,584","4,279","6,493",281,"8,987","1,651"
    E42000089 Inner London,8,"12,870","3,935","6,255",292,"8,758","1,635"
    E42000089 Inner London,9,"12,224","3,768","6,119",238,"8,649","1,615"
    E42000089 Inner London,10,"12,429","3,855","5,880",272,"8,727","1,654"
    E42000089 Inner London,11,"12,387","3,784","5,750",266,"8,636","1,546"
    E42000089 Inner London,12,"12,020","3,494","5,766",307,"8,414","1,668"
    E42000089 Inner London,13,"11,612","3,581","5,769",305,"8,935","1,517"
    E42000089 Inner London,14,"11,424","3,531","5,812",278,"8,852","1,679"
    E42000089 Inner London,15,"11,708","3,314","5,811",320,"8,944","1,654"
    E42000089 Inner London,16,"11,291","3,085","5,487",382,"8,693","1,835"
    E42000089 Inner London,17,"11,517","3,075","5,569",461,"8,475","1,848"
    E42000089 Inner London,18,"14,221","3,138","6,324",928,"8,355","1,966"
    E42000089 Inner London,19,"18,684","3,190","7,697","1,737","7,420","2,030"
    E42000089 Inner London,20,"21,318","3,387","8,599","2,525","7,804","2,374"
    E42000089 Inner London,21,"23,345","3,544","9,094","2,919","8,027","2,427"
    E42000089 Inner London,22,"29,644","3,756","9,893","3,306","8,190","2,586"
    E42000089 Inner London,23,"37,812","3,952","10,363","2,907","8,325","2,557"
    E42000089 Inner London,24,"44,126","4,064","10,792","2,451","8,567","2,502"
    E42000089 Inner London,25,"50,357","4,329","11,482","2,272","8,868","3,059"
    E42000089 Inner London,26,"53,754","4,252","11,665","2,402","8,812","3,069"
    E42000089 Inner London,27,"54,971","4,459","11,997","2,382","8,370","3,220"
    E42000089 Inner London,28,"55,320","4,034","12,230","2,682","8,777","3,271"
    E42000089 Inner London,29,"55,689","4,110","12,177","2,379","8,208","3,183"
    E42000089 Inner London,30,"55,146","3,906","11,576","2,241","8,814","3,564"
    E42000089 Inner London,31,"52,277","3,622","11,373","2,239","8,460","3,413"
    E42000089 Inner London,32,"49,183","3,457","10,664","1,858","8,562","3,159"
    E42000089 Inner London,33,"44,412","3,103","9,677","1,722","7,953","3,260"
    E42000089 Inner London,34,"41,265","2,906","9,972","1,587","7,987","3,074"
    E42000089 Inner London,35,"37,930","2,583","8,968","1,265","8,313","2,775"
    E42000089 Inner London,36,"36,434","2,413","8,645","1,262","8,003","2,544"
    E42000089 Inner London,37,"34,059","2,354","8,390","1,162","7,665","2,578"
    E42000089 Inner London,38,"32,718","2,312","7,525","1,025","8,499","2,608"
