LA Name,age,WHITE,MIXED,ASIAN/ASIAN BRITISH,CHINESE,BLACK/BLACK BRITISH,OTHER,total
        E41000309 Hounslow,62,635,20,328,13,54,29,1079
        E41000309 Hounslow,63,755,20,293,14,30,34,1146
        E41000309 Hounslow,64,700,22,285,9,35,22,1073
        E41000309 Hounslow,65,551,13,230,8,39,22,863
        E41000309 Hounslow,66,561,14,246,8,34,18,881
        E41000309 Hounslow,67,529,16,221,3,40,21,830
        E41000309 Hounslow,68,544,12,222,4,24,15,821
        E41000309 Hounslow,69,423,9,242,4,36,17,731
        E41000309 Hounslow,70,433,7,219,3,26,15,703
        E41000309 Hounslow,71,431,5,188,7,33,19,683
        E41000309 Hounslow,72,436,12,218,4,32,11,713
        E41000309 Hounslow,73,446,7,205,10,15,18,701
        E41000309 Hounslow,74,450,9,180,5,28,8,680
        E41000309 Hounslow,75,384,15,158,4,31,22,614
        E41000309 Hounslow,76,411,8,124,5,21,15,584
        E41000309 Hounslow,77,382,2,130,3,14,10,541
        E41000309 Hounslow,78,411,4,128,6,16,6,571
        E41000309 Hounslow,79,401,7,101,5,7,11,532
        E41000309 Hounslow,80,416,7,99,1,12,11,546
        E41000309 Hounslow,81,371,7,83,2,18,5,486
        E41000309 Hounslow,82,311,2,71,0,8,7,399
        E41000309 Hounslow,83,284,3,62,3,8,4,364
        E41000309 Hounslow,84,288,4,57,2,7,6,364
        E41000309 Hounslow,     85 - 89,1232,16,153,7,18,14,1440
        E41000309 Hounslow,     90 - 94,529,7,43,3,3,2,587
        E41000309 Hounslow,     95 - 99,157,1,9,0,1,2,170
        E41000309 Hounslow,     100 and over,16,0,7,0,0,0,23
        E41000312 Kingston upon Thames,        E41000312 Kingston upon Thames,0,0,0,0,0,0,0
        E41000312 Kingston upon Thames,     Total: Age,61135,3259,11732,1585,2114,2132,81957
        E41000312 Kingston upon Thames,0,760,135,141,21,28,34,1119
        E41000312 Kingston upon Thames,1,717,116,147,10,26,28,1044
        E41000312 Kingston upon Thames,2,754,130,186,12,23,35,1140
        E41000312 Kingston upon Thames,3,688,111,200,9,26,45,1079
        E41000312 Kingston upon Thames,4,590,125,182,11,29,29,966
        E41000312 Kingston upon Thames,5,620,100,160,13,32,27,952
        E41000312 Kingston upon Thames,6,607,97,163,15,22,21,925
        E41000312 Kingston upon Thames,7,571,97,186,11,21,29,915
        E41000312 Kingston upon Thames,8,519,91,148,6,18,19,801
        E41000312 Kingston upon Thames,9,555,71,138,11,19,33,827
        E41000312 Kingston upon Thames,10,551,72,139,18,23,21,824
        E41000312 Kingston upon Thames,11,644,70,148,8,27,26,923
        E41000312 Kingston upon Thames,12,620,56,130,19,28,25,878
        E41000312 Kingston upon Thames,13,586,60,170,8,29,25,878
        E41000312 Kingston upon Thames,14,567,59,163,9,29,25,852
        E41000312 Kingston upon Thames,15,578,54,144,13,25,31,845
        E41000312 Kingston upon Thames,16,555,68,174,17,20,24,858
        E41000312 Kingston upon Thames,17,559,67,166,19,29,23,863
